Key,Source,Context,Changes,English,French,German,Klingon,Spanish
quest_WhiteRiverCitizen1_description,,Quest Info,KgNone,"Okay Agent,\n\nNow open all HYPERION Equipment Cases with your Stone Axe: Put all Boxes, Cases and Bags down and open the LOCKS through bashing them with the Stone Axe!\n\nYour next Order is to find one of our local HYPERION Agents. We have marked your map with the nearest White River Outpost location. There you will find a Trader where you can buy and sell goods.\n\nTalk to him to get your next objective!\n\nHYPERION HQ out.",,,,
quest_WhiteRiverCitizen1_description2,,Quest Info,KgNone,"Now open all HYPERION Equipment Cases with your Stone Axe: Put all Boxes, Cases and Bags down and open the LOCKS through bashing them with the Stone Axe!\nYour next Order is to find one of our local HYPERION Agents. We have marked your map with the nearest White River Outpost location. There you will find a Trader where you can buy and sell goods.\nTalk to him to get your next objective!",,,,
quest_WhiteRiverCitizen1_subtitle,,Quest Info,KgNone,Find Settlement,,,,
quest_WhiteRiverCitizen1_description_title,,Popup Tip,,White River Citizen,Citoyen de la Rivière blanche,Bürger von White River,,Ciudadano de Río Blanco
quest_killSomeZeds,,Quest Info,Reordered,"Kill Zombies!",,,,
quest_killSomeZeds1,,Quest Info,Reordered,"Kill some Zombies!",,,,
quest_killSomeZeds1_tip,,Popup Tip,KgNone,"Well done Agent,\n\nWe have given you some new tech equipment, that should help you defend your temporary bases.\nBut your job is just beginning!\n\nNow, for the next orders, we need to be a bit more discrete as there are hostile Agents and Bandits all around!\nSo, do some Jobs for the local trader and you will receive some code fragments every now and then which you can decipher with your equipment when you do have enough of them. As only our Agents have that decoder, so this should be a safe.\n\nBut first, let's see if you can take some action, so... kill 100 Zombies!\n\nHYPERION HQ out.",,,,
quest_killSomeZeds1_tip_title,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,"Kill some Zombies!",,,,
quest_killSomeZeds1_offer,,Quest Info,KgNone,"Well done Agent,\n\nWe have given you some new tech equipment, that should help you defend your temporary bases.\nNow, do some Jobs for the local trader and you will receive some code fragments every now and then which you can decipher with your equipment when you do have enough of them,\n\nso... kill 100 Zombies!",,,,
quest_killSomeZeds1_descr,,Quest Info,KgNone,"let's see if you can take some action, kill 100 Zombies!",,,,
quest_killSomeZeds1_subtitle,,Quest Info,KgNone,Kill Zombies,,,,
quest_killSomeZeds1_description_title,,Popup Tip,,Kill some Zombies!,,,,
quest_killManyZeds,,Quest Info,Reordered,"Kill MORE Zombies!",,,,
quest_killManyZeds1,,Quest Info,Reordered,"Kill MORE Zombies!",,,,
quest_killManyZeds1_tip,,Popup Tip,KgNone,"Well done Agent,\n\nbut you need to kill 3000 more Zombies!\n\nHYPERION HQ out.",,,,
quest_killManyZeds1_tip_title,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,"Kill MORE Zombies!",,,,
quest_killManyZeds1_offer,,Quest Info,KgNone,"Well done Agent,\n\nbut you need to kill 3000 more Zombies!\n\nHYPERION HQ out.",,,,
quest_killManyZeds1_descr,,Quest Info,KgNone,"Agent, kill 3000 more Zombies!",,,,
quest_killManyZeds1_subtitle,,Quest Info,KgNone,Kill MORE Zombies,,,,
quest_killManyZeds1_description_title,,Popup Tip,,Kill MORE Zombies!,,,,
quest_ActionSkill,,Quest Info,KgNone,Action Skill,,,,
quest_ActionSkill_offer,,Quest Info,KgNone,"Welcome Agent!\nNow choose your Action Skill!\n\n- Axton the Commando (Auto Turret)\n- Salvadore the Gunzerker (Guns blazing)\n- Brick as Himself (Berserk)\n- Mordecai the Hunter (Bloodwing)\n- Zero as a Number (Assassin)\n\nGet the desired Pill out of your Pill box (via crafting)",,,,
quest_ActionSkill_name,,Quest Info,KgNone,Action Skill,,,,
quest_ActionSkill_description,,Quest Info,KgNone,"Welcome Agent!\nNow choose your Action Skill!\n\n- Axton the Commando (Auto Turret)\n- Salvadore the Gunzerker (Guns blazing)\n- Brick as Himself (Berserk)\n- Mordecai the Hunter (Bloodwing)\n- Zero as a Number (Assassin)\n\nGet the desired Pill out of your Pill box (via crafting)",,,,
quest_ActionSkill_subtitle,,Quest Info,KgNone,Choose Your special Ability,,,,
quest_rereadIntro,,Quest Info,Reordered,"Reread Starting Intro",,,,
quest_rereadIntro_offer,,Quest Info,KgNone,"Wanna read that so important Starting Intro again? Or were you just lazy and haven't read it at Start at all?!\n\nAh, I see.",,,,
quest_rereadIntro_descr,,Quest Info,KgNone,"Reread Starting Intro Message",,,,
quest_rereadIntro_subtitle,,Quest Info,KgNone,Reread Intro Message,,,,
quest_rereadIntro_descr_title,,Popup Tip,,Reread Intro Message,,,,
q3_________________,,Popup Tip,KgNone,,,,,
q4_________________,,Popup Tip,KgNone,"                END OF CHANGES                ",,,,
q5_________________,,Popup Tip,KgNone,,,,,
